,candidates,distr,num_of_candidate,num_sent,num_token,replaced,result,source
328,,,0,18,6,False,and,and
329,,,0,18,7,False,done,done
330,"['<UNK>' 'the' ',' '.' 'to' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'with'
 'as' 'at' 'not' '--' 'this' 'more' 'about' 'up' 'one' 'her' 'you' 'all'
 'over' ""'"" 'there' '?' 'them' 'so' 'what' 'just' 'him' 'like' 'now'
 'much' 'well' 'your' '10' 'good' 'me' 'long' '...' 'right' '!' 'us'
 'away' 'here' 'better' 'enough' 'something' 'great' 'things' 'real'
 'anything' 'wrong' 'fine' 'stuff' 'yourself' 'OK' 'okay']",[0.         0.         0.01612898 ... 0.         0.         0.        ],62,18,8,True,enough,it
331,"['<UNK>' 'the' ',' '.' 'to' 'of' 'a' 'in' '""' ""'s"" 'that' 'for' 'on' 'is'
 'with' 'it' 'not' 'this' 'more' 'about' 'up' 'one' 'out' 'you' 'two'
 'all' 'over' 'first' ""'"" 'years' 'there' '?' 'so' 'only' 'before' 'back'
 'off' 'much' 'well' 'too' 'long' '...' 'right' '!' 'today' 'here'
 'better' 'again' 'yet' 'together' 'wrong' 'myself' 'yourself' 'anyway'
 'OK']",[0.         0.         0.01817928 ... 0.         0.         0.        ],55,18,9,True,?,now
332,,,0,18,10,False,.,.
333,"['.' '""' 'I' '--' ""'"" '?' '...']",[0. 0. 0. ... 0. 0. 0.],7,18,11,True,"""",You
334,,,0,18,12,False,put,put
335,,,0,18,13,False,the,the
336,"['<UNK>' 'the' ',' '""' ""'"" 'New' '...']",[0.         0.         0.14390976 ... 0.         0.         0.        ],7,18,14,True,<UNK>,words
337,,,0,18,15,False,'China,'China
338,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'on' 'is'
 'was' 'it' 'by' ')' '(' '--' 'this' 'up' 'one' 'out' 'you' '-' '?' ';'
 'Obama' '...' 'right' '!' '[' '*' '@' '#']",[0.         0.         0.02789949 ... 0.         0.         0.        ],36,18,16,True,on,'
339,,,0,18,17,False,and,and
340,,,0,18,18,False,'Chinese,'Chinese
341,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' '""' ""'s"" 'that' 'for' 'is' 'with'
 'are' '--' 'out' 'you' '-' 'all' 'first' 'just' 'back' 'well' '...'
 'words' 'talking']",[0.         0.         0.03855299 ... 0.         0.         0.        ],26,18,19,True,'s,'
342,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'was' 'with' 'said' 'as' 'at' 'it' 'by' 'from' 'have' 'are' 'not'
 '--' 'were' 'but' 'this' 'more' 'or' 'about' ':' 'after' 'one' 'out'
 'you' 'two' 'people' '-' 'all' 'over' 'first' 'into' ""'"" '?' 'them' 'so'
 'only' 'just' 'like' 'now' ';' 'being' 'against' 'off' 'down' 'while'
 'through' 'even' 'between' 'still' 'then' 'during' 'under' 'around'
 'both' 'left' 'used' '...' 'put' 'past' 'without' '!' 'among' 'away'
 'across' 'again' 'near' 'along' 'within' 'above' 'read' 'below' 'words']",[0.         0.         0.01165467 ... 0.         0.         0.        ],86,18,20,True,along,up
343,"['<UNK>' ',' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'is' 'an' 'their'
 'but' 'more' 'or' 'her' 'two' 'all' 'first' ""'"" 'some' 'so' 'just' 'our'
 'my' 'well' 'your' 'very' 'high']",[0.         0.         0.03336254 ... 0.         0.         0.        ],30,18,21,True,<UNK>,the
344,"['<UNK>' ',' 'and' '""' 'that' 'one' 'two' 'first' ""'"" 'most' 'good' 'same'
 'number' 'long' 'right' 'high' 'best' 'big' 'record' 'great' 'whole'
 'wrong' '*' 'exact']",[0.         0.         0.04180576 ... 0.         0.         0.        ],24,18,22,True,record,required
345,"['<UNK>' 'last' 'set' 'good' 'right' 'kind' 'list' 'terms' 'numbers'
 'amount' 'range' 'scores']",[0.         0.         0.08345073 ... 0.         0.         0.        ],12,18,23,True,good,number
346,"['<UNK>' 'the' ',' 'to' 'and' 'a' 'in' '""' 'for' 'is' 'as' 'at' 'or'
 'about' 'two' ""'"" 'three' 'four' '10' 'right']",[0.         0.         0.05005659 ... 0.         0.         0.        ],20,18,24,True,as,of
347,,,0,18,25,False,times,times
348,,,0,18,26,False,for,for
349,"['<UNK>' ',' '.' 'to' 'and' 'a' 'in' '""' 'that' 'The' 'as' 'at' 'it' 'his'
 'an' 'not' 'their' 'this' 'which' 'more' 'its' 'about' 'one' 'her' 'you'
 'two' 'people' 'all' 'first' ""'"" 'other' 'new' 'years' 'time' 'some' 'no'
 'what' 'only' 'just' 'most' 'now' 'three' 'being' 'Obama' 'many' 'any'
 'our' 'such' 'those' 'even' 'how' 'much' 'my' 'next' 'your' 'very' 'US'
 'American' '10' 'another' 'months' 'these' 'good' 'children' 'too' 'me'
 'China' 'long' '...' 'health' 'life' '1' 'each' 'women' 'little' 'every'
 '2' 'global' 'something' '3' 'free' 'great' 'media' 'real' 'different'
 'possible' 'Chinese' 'human' 'personal' 'someone' 'anyone' 'positive' '*'
 'negative' 'fun' 'myself' 'actual']",[0.         0.         0.01037047 ... 0.         0.         0.        ],97,18,27,True,their,the
350,"['<UNK>' 'the' ',' 'and' '""' 'more' 'one' 'two' 'last' 'first' ""'"" 'other'
 'new' 'only' 'U.S.' 'most' 'three' 'many' 'New' 'next' 'second' 'very'
 'US' 'American' '10' 'good' 'same' 'five' 'China' '...' 'top' '2008'
 'best' 'British' 'third' 'recent' 'big' 'major' 'final' 'European' 'UK'
 'great' 'current' 'real' 'different' 'old' 'full' 'foreign' '100'
 'average' 'biggest' 'Chinese' 'latest' 'fourth' 'black' 'previous' 'BBC'
 'special' 'cause' 'whole' 'original' 'entire' 'First' '*' 'standard'
 'famous' 'so-called' '2012' 'actual' 'fake']",[0.         0.         0.01439375 ... 0.         0.         0.        ],70,18,28,True,...,dating
351,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'in' '""' ""'s"" 'that' 'for' 'with' ')'
 'which' 'or' ""'"" '?' '/' '...' '!' 'news' 'side' 'media' 'body' 'video'
 'newspaper' 'search' 'product' 'picture' 'image' 'magazine' 'internet'
 'page' 'photo' 'web' 'profile']",[0.         0.         0.02808684 ... 0.         0.         0.        ],36,18,29,True,search,Asians
352,,,0,18,30,False,ad,ad
353,"['<UNK>' 'the' ',' '.' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'is' 'it'
 'have' 'has' 'are' ')' 'not' 'will' 'who' 'I' '--' 'they' 'this' 'which'
 'or' 'would' 'one' 'you' 'when' 'people' '-' 'all' 'can' 'first' ""'"" 'we'
 'she' 'there' '?' 'time' 'them' 'so' 'only' 'just' 'now' 'world' 'then'
 'did' '...' 'here' 'does' 'really']",[0.         0.         0.01893786 ... 0.         0.         0.        ],53,18,31,True,time,to
354,,,0,18,32,False,come,come
355,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' 'that' 'on' 'it' 'this'
 'about' 'out' 'you' 'over' 'first' ""'"" '?' 'them' 'so' 'before' 'back'
 'off' 'down' 'around' '...' 'right' 'later' '!' 'here' 'again' 'forward']",[0.         0.         0.02942038 ... 0.         0.         0.        ],34,18,33,True,again,up
356,,,0,18,34,False,.,.
357,,,0,18,35,False,Evidently,Evidently
358,"['<UNK>' 'the' '.' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'with'
 'as' 'at' 'by' 'from' '(' '--' 'but' 'more' ':' 'one' 'out' 'when' '-'
 '?' 'if' 'so' 'what' 'only' 'just' 'like' 'because' 'now' 'even' 'then'
 'my' '...' '!' 'why']",[0.         0.         0.02438879 ... 0.         0.         0.        ],41,18,36,True,out,","
359,,,0,18,37,False,Ms.,Ms.
360,"['<UNK>' ',' 'and' '""' ')' 'D' 'B']",[0.         0.         0.14600826 ... 0.         0.         0.        ],7,18,38,True,and,Zhang
361,,,0,18,39,False,",",","
362,"['<UNK>' 'the' ',' '.' 'to' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'one' 'her' 'two' 'over' ""'"" '?' 'long' '...' '!' '20' '30' '50' '25'
 'Chinese' '40' '24' '22' 'above' '21' '60' '35' '45' '32' '33' '36' '34'
 '48' '37' '42' '44' '47' '52' '49' '51' '53']",[0.         0.         0.02093812 ... 0.         0.         0.        ],48,18,40,True,a,50Kg
363,,,0,18,41,False,and,and
364,"['<UNK>' 'the' ',' 'of' 'and' 'a' 'in' '""' 'that' 'on' 'as' 'at' 'I'
 'this' 'more' 'about' 'one' 'her' 'you' 'over' ""'"" 'now' '/' 'my'
 'Chinese' 'above' '+' 'S' 'C' 'Han' 'U']",[0.         0.         0.03493808 ... 0.         0.         0.        ],31,18,42,True,above,168cm
365,,,0,18,43,False,[,[
366,"['<UNK>' ',' 'to' 'of' 'and' 'in' 'on' 'is' 'was' 'with' 'as' 'at' 'by'
 'from' 'have' 'has' 'are' 'not' '(' 'or' 'about' ':' 'after' 'than' 'her'
 'you' '-' 'over' ""'"" '?' 'only' 'just' 'now' 'against' '/' 'even' '...'
 'above' 'below' '[' ']' '*' '=']",[0.        0.        0.0232574 ... 0.        0.        0.       ],43,18,44,True,to,for
367,"['<UNK>' 'the' ',' 'of' 'and' '""' 'as' 'at' 'an' ')' 'I' ':' 'one' 'her'
 'over' ""'"" 'A' 'no' 'only' 'my' 'your' 'good' '1' '2' '5' 'average' '6'
 'My' '[' '+' 'female' 'normal' 'male']",[0.        0.        0.0304579 ... 0.        0.        0.       ],33,18,45,True,2,a
368,,,0,18,46,False,BMI,BMI
369,,,0,18,47,False,of,of
370,,,0,18,48,False,17.8,17.8
371,,,0,18,49,False,],]
372,,,0,18,50,False,from,from
373,,,0,18,51,False,'HuNan,'HuNan
374,,,0,18,52,False,China,China
375,"['<UNK>' 'the' ',' '.' 'and' '""' 'that' 'it' 'not' 'who' '--' 'they' 'but'
 'or' 'also' 'you' '-' 'all' '?' 'so' 'only' 'just' 'now' 'China' '...']",[0.         0.         0.04000885 ... 0.         0.         0.        ],25,18,53,True,.,'
376,"['<UNK>' 'the' ',' '.' 'to' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on' 'is'
 'was' 'said' 'at' 'it' 'by' 'be' 'have' 'has' 'are' ')' 'not' 'had' '--'
 'but' 'or' 'about' 'up' 'one' 'out' 'you' 'all' 'over' '?' 'time' 'so'
 'only' 'just' 'where' 'down' 'China' '...' 'came' 'got' 'comes' 'means'
 'seems' 'takes' 'goes']",[0.         0.         0.01925074 ... 0.         0.         0.        ],52,18,54,True,goes,wants
377,,,0,18,55,False,to,to
378,,,0,18,56,False,meet,meet
379,,,0,18,57,False,me,me
380,,,0,18,58,False,.,.
381,,,0,18,59,False,She,She
382,,,0,18,60,False,has,has
383,,,0,18,61,False,her,her
384,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' ""'s"" 'that' 'or' 'her' 'all' ""'""
 '/' 'own' '...' 'big' 'mouth']",[0.         0.         0.05552974 ... 0.         0.         0.        ],18,18,62,True,and,little
385,"['<UNK>' ',' 'to' 'of' 'and' 'in' '""' ""'s"" 'that' 'with' 'but' 'more' 'or'
 'one' 'her' 'back' 'left' '...' 'little' 'head' 'look' 'something' 'face'
 'things' 'body' 'question' 'hand' 'heart' 'questions' 'talk' 'bit' 'feet'
 'hands' 'words' 'comments' 'word' 'door' 'voice' 'arms' 'brain' 'eyes'
 'eye' 'foot' 'hair' 'leg' 'legs' 'neck' 'thoughts' 'chest' 'smile' 'nose'
 'finger' 'fingers' 'ear' 'ears' 'lips' 'tongue' 'breasts' 'eyebrows'
 'butt' 'chin']",[0.         0.         0.01638695 ... 0.         0.         0.        ],61,18,63,True,nose,mouth
386,,,0,18,64,False,open,open
387,,,0,18,65,False,like,like
388,,,0,18,66,False,she,she
389,"['<UNK>' ',' 'and' '""' ""'s"" 'was' 'are' 'or' ""'"" 'just' 'like' 'now'
 'still' 'already' 'really' 'often' 'always' 'started' 'needs' 'probably'
 'actually' 'kept' 'sometimes' 'usually' 'rarely']",[0.        0.        0.0399853 ... 0.        0.        0.       ],25,18,67,True,or,is
390,,,0,18,68,False,speaking,speaking
391,,,0,18,69,False,.,.
392,,,0,18,70,False,What,What
393,,,0,18,71,False,is,is
394,"['<UNK>' ',' 'to' 'of' 'and' '""' ""'s"" 'for' 'as' 'not' 'I' 'you' 'all' ""'""
 '?' 'so' 'what' 'now' 'then' 'why']",[0.         0.         0.05000558 ... 0.         0.         0.        ],20,18,72,True,why,that
395,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' '""' ""'s"" 'that' 'it' 'he' ')'
 'not' 'I' '--' 'they' 'but' 'this' 'or' ':' 'one' 'people' '-' 'all' 'we'
 'she' '?' 'so' 'only' 'just' 'do' 'even' 'still' 'then' 'your' 'another'
 'me' '...' '!' 'really' 'why' 'Chinese' 'person' 'question' 'actually']",[0.         0.         0.02126839 ... 0.         0.         0.        ],47,18,73,True,do,you
396,,,0,18,74,False,ask,ask
397,,,0,18,75,False,",",","
398,,,0,18,76,False,Zhang,Zhang
399,,,0,18,77,False,?,?
400,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'was' 'with' 'as' 'it' 'by' 'have' 'are' ')' 'not' 'I' '--' 'were'
 'but' 'this' 'which' 'or' 'about' ':' 'one' 'also' 'her' 'you' '-' 'all'
 'But' ""'"" 'there' '?' 'if' 'no' 'so' 'what' 'like' 'because' 'now' ';'
 'do' 'This' 'then' 'And' 'my' 'That' '...' '!' 'here' '&' 'So' 'why' 'No'
 'am' 'Now' 'Then' 'ask' 'Why' 'please' 'yes' 'Oh' 'oh' 'yeah' 'Ok' 'ah'
 'Er']",[0.         0.         0.01304922 ... 0.         0.         0.        ],77,18,78,True,And,Well
401,,,0,18,79,False,",",","
402,,,0,18,80,False,yes,yes
403,"['<UNK>' 'the' '.' 'to' 'and' '""' 'that' 'for' 'it' 'not' '(' '--' 'but'
 'this' 'or' ':' 'you' 'people' '-' 'there' '?' 'if' ';' 'then' '...' '!'
 '..' 'yes' '....' '.....']",[0.        0.        0.0332815 ... 0.        0.        0.       ],30,18,81,True,the,","
404,,,0,18,82,False,as,as
405,,,0,18,83,False,a,a
406,,,0,18,84,False,matter,matter
407,"[',' 'for']",[0. 0. 0. ... 0. 0. 0.],2,18,85,True,",",of
408,"['<UNK>' '""']",[0.         0.         0.50004232 ... 0.         0.         0.        ],2,18,86,True,<UNK>,fact
409,"['<UNK>' ',' 'to' 'and' 'as' 'but' 'or' 'you' 'so' 'i']",[0.         0.         0.09990531 ... 0.         0.         0.        ],10,18,87,True,and,I
410,"['<UNK>' ',' 'and' 'is' 'was' 'be' 'have' 'are' 'not' 'had' 'were' 'also'
 'just' 'like' 'now' 'get' 'say' 'even' 'still' 'see' 'own' 'use' 'need'
 'want' 'know' 'find' 'really' ""'m"" 'asked' 'call' 'saw' 'met' 'actually'
 'tell' 'ask' 'hear']",[0.         0.         0.02774361 ... 0.         0.         0.        ],36,18,88,True,saw,am
411,"['<UNK>' 'the' ',' 'to' 'of' 'and' '""' 'that' 'for' 'as' 'by' 'an' 'this'
 'one' 'her' 'you' 'my' 'your' 'another' 'living']",[0.         0.         0.05000267 ... 0.         0.         0.        ],20,18,89,True,<UNK>,a
412,,,0,18,90,False,physician,physician
413,"['<UNK>' ',' '""' '(' '--' ':' '-' '?' ';' '/' '...' '!' '[' '..' '....']",[0.         0.         0.06656265 ... 0.         0.         0.        ],15,18,91,True,<UNK>,.
414,,,0,18,92,False,Why,Why
415,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'in' ""'s"" 'that' 'for' 'on' 'is' 'was'
 'at' 'it' 'be' 'have' 'has' 'not' 'will' 'had' 'were' 'or' 'would' ':'
 ""'t"" 'you' '-' 'all' 'can' 'could' 'just' 'do' 'get' 'take' '...' 'want'
 'does' 'keep' 'stop' 'Is']",[0.         0.         0.02437322 ... 0.         0.         0.        ],41,18,93,True,were,are
416,"['<UNK>' 'the' '""' 'that' 'it' 'not' 'I' 'they' 'people' 'all' 'we'
 'there' 'some' 'so' 'those' 'your' 'me' 'women' 'You' 'girls']",[0.         0.         0.04997427 ... 0.         0.         0.        ],20,18,94,True,"""",you
417,"['<UNK>' 'of' 'with' 'all' 'having' 'getting' 'moving' 'holding' 'talking'
 'putting' 'keeping' 'raising' 'bringing' 'turning' 'pushing' 'sticking']",[0.         0.         0.06245276 ... 0.         0.         0.        ],16,18,95,True,<UNK>,clapping
418,,,0,18,96,False,your,your
419,"['<UNK>' ',' 'and' 'in' '""' 'up' 'one' 'two' 'people' ""'"" 'time' 'back'
 'down' 'around' 'children' 'family' 'head' 'side' 'body' 'child'
 'friends' 'phone' 'feet' 'words' 'kids' 'arms' 'eyes' 'dog' 'foot'
 'heads' 'hair' 'leg' 'arm' 'stuff' 'legs' 'neck' 'babies' 'shoes' 'mouth'
 'hat' 'fingers' 'heels' 'shoulders' 'knees' 'lips' 'breasts' 'toes'
 'noses' 'hips' 'thumbs' 'palms' 'wrists' 'paws']",[0.         0.         0.01887794 ... 0.         0.         0.        ],53,18,97,True,"""",hands
420,,,0,18,98,False,together,together
421,,,0,18,99,False,and,and
422,,,0,18,100,False,jumping,jumping
423,,,0,18,101,False,up,up
424,,,0,18,102,False,and,and
425,"['the' 'in' 'on' 'up' 'out' 'you' 'all' 'over' 'so' 'just' 'back' 'off'
 'then' 'going' 'away' 'saying' 'doing' 'thinking' 'reading' 'eating'
 'kissing']",[0. 0. 0. ... 0. 0. 0.],21,18,103,True,in,down
426,"['<UNK>' ',' '.' '""' '(' '-' ""'"" '/' '...' '....']",[0.         0.         0.09991937 ... 0.         0.         0.        ],10,18,104,True,"""",?
427,,,0,18,105,False,Stop,Stop
428,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'for' 'on' 'is'
 'with' 'as' 'at' 'it' 'by' 'from' 'not' 'their' '--' 'but' 'this' 'or'
 ':' 'after' 'one' 'her' 'you' 'people' '-' 'all' 'over' ""'"" 'there' '?'
 'some' 'them' 'so' 'just' 'him' 'before' 'like' ';' 'being' 'any' 'those'
 'my' 'your' 'me' '...' '!' 'us' '&' 'saying' 'something' 'getting'
 'someone' '..' 'yourself' '....']",[0.         0.         0.01589613 ... 0.         0.         0.        ],63,18,106,True,something,that
429,"['<UNK>' 'the' ',' '.' 'to' 'of' 'a' 'in' '""' ""'s"" 'that' 'for' 'on' 'is'
 'The' 'with' 'as' 'at' 'it' 'by' ')' 'not' '(' 'I' 'this' 'more' 'about'
 'one' 'you' 'people' '-' 'all' ""'"" 'other' 'there' '?' 'time' 'no' 'so'
 'like' 'country' 'way' 'my' 'your' 'day' 'part' 'very' 'money' 'man'
 'too' 'same' '...' 'right' 'life' '!' 'women' 'here' 'change' 'car' 'You'
 'again' 'point' 'really' 'saying' 'young' 'something' 'issue' 'woman'
 'line' 'real' 'old' 'problem' 'thing' 'child' 'person' 'black' 'book'
 'bad' 'question' 'kind' 'charge' 'white' 'someone' 'comment' 'talk'
 'love' 'bit' 'wrong' 'message' 'girl' 'sex' 'red' 'word' 'baby' 'sort'
 'thinking' 'type' 'guy' 'song' 'stuff' 'conversation' 'lying' 'kid'
 'stupid']",[0.         0.         0.00969308 ... 0.         0.         0.        ],104,18,107,True,about,squealing
430,,,0,18,108,False,",",","
431,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'is'
 'The' 'with' 'said' 'as' 'it' 'by' 'from' 'be' 'have' 'are' 'not' 'but'
 'this' 'or' 'about' 'one' 'her' 'you' ""'"" 'there' '?' 'some' 'no' 'like'
 'get' 'our' 'says' 'say' 'my' 'your' '...' 'right' 'want' '!' 'big' 'You'
 'head' 'call' 'old' 'black' 'bad' 'white' 'straight' 'mean' 'baby' '*'
 'hot' 'sick' 'cool' 'fat' 'Oh' 'funny' 'sorry' 'dirty' 'oh' 'lazy' 'ma']",[0.         0.         0.01422342 ... 0.         0.         0.        ],71,18,109,True,it,young
432,,,0,18,110,False,lady,lady
433,,,0,18,111,False,and,and
434,,,0,18,112,False,'exprain,'exprain
435,"['<UNK>' 'the' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'for' 'on' 'is' 'with'
 'at' 'it' 'by' 'from' 'be' 'have' 'not' '(' 'about' 'up' 'one' 'you'
 'into' 'no' 'just' 'do' 'get' 'take' 'your' 'see' 'need' 'put' 'want'
 'without' 'never' 'got' 'give' 'call' 'getting' 'try' 'stop' 'bring'
 'let' 'giving' 'pass' 'ask' 'asking' '*' 'please']",[0.         0.         0.01923534 ... 0.         0.         0.        ],52,18,113,True,bring,'
436,"['<UNK>' 'the' ',' '.' 'to' 'of' 'a' 'in' ""'s"" 'is' 'was' 'it' 'by' 'be'
 'have' 'are' 'an' 'not' '(' 'were' 'this' 'or' ':' 'up' '-' 'into' ""'""
 'A' '?' 'if' 'no' 'what' 'being' 'say' 'should' 'way' 'work' 'well' 'go'
 'good' 'think' 'me' '...' 'life' 'want' 'know' '!' 'never' 'little'
 'really' 'old' 'live' 'thing' 'child' 'No' 'am' 'living' 'kids' '*' 'hot'
 'mouth' 'kid' 'c' 'b' 'o' 't' 'oh' 'Hello' 'h' 'wow' 'r']",[0.         0.         0.01436447 ... 0.         0.         0.        ],71,18,114,True,is,yourself
437,,,0,18,115,False,!,!
438,,,0,19,0,False,Fact,Fact
439,,,0,19,1,False,:,:
440,,,0,19,2,False,Georgia,Georgia
441,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' ""'s"" 'on' 'is' 'was'
 'with' 'as' 'have' 'has' 'had' 'were' 'or' 'also' 'only' 'just' 'now'
 'made' 'then' 'did' 'found' 'used' 'called' 'took' 'put' 'came' 'got'
 'went' 'announced' 'led' 'began' 'started' 'received' 'became' 'failed'
 'saw' 'ended' 'brought' 'tried' 'dropped' 'signed' 'built' 'broke'
 'posted' 'ran' 'produced' 'declared' 'entered' 'gained' 'enacted']",[0.         0.         0.01752648 ... 0.         0.         0.        ],57,19,3,True,had,passed
442,,,0,19,4,False,a,a
443,,,0,19,5,False,strict,strict
444,"['<UNK>' 'the' ',' 'of' 'and' 'a' '""' 'one' 'first' ""'"" 'new' 'no'
 'government' 'U.S.' 'police' 'state' 'public' 'business' 'family' 'right'
 'health' 'military' 'economic' 'school' 'security' 'campaign' 'local'
 'change' 'national' 'oil' 'international' 'tax' 'federal' 'free' 'media'
 'water' 'food' 'line' 'energy' 'old' 'foreign' 'black' 'trade' 'drug'
 'social' 'white' 'education' 'travel' 'housing' 'border' 'domestic'
 'civil' 'red' 'fiscal' 'regional' 'environmental' 'stimulus'
 'enforcement' 'labor' 'fishing' 'export' 'marijuana' 'immigrant' 'visa'
 'import' 'customs' 'free-trade' 'anti-drug' 'one-child']",[0.         0.         0.01475573 ... 0.         0.         0.        ],69,19,6,True,new,immigration
445,['<UNK>' 'and'],[0.         0.         0.49984144 ... 0.         0.         0.        ],2,19,7,True,and,policy
446,"['<UNK>' 'the' ',' '.' 'to' 'of' 'in' '""' 'that' 'for' 'with' 'as' 'it'
 'by' 'from' 'not' '--' 'but' 'this' 'which' 'or' 'about' ':' 'after'
 'when' '-' 'last' 'first' 'there' '?' 'if' 'so' 'only' 'just' 'before'
 'like' 'because' ';' 'where' 'since' 'while' '...' 'until' 'today' 'here'
 'once' 'recently']",[0.         0.         0.02114311 ... 0.         0.         0.        ],47,19,8,True,for,and
447,,,0,19,9,False,most,most
448,,,0,19,10,False,of,of
449,,,0,19,11,False,the,the
450,,,0,19,12,False,Latino,Latino
451,,,0,19,13,False,farm,farm
452,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' ""'s"" 'that' 'is' 'it'
 'have' 'he' 'has' 'are' 'I' 'had' 'they' 'or' 'people' 'just' 'now'
 'business' 'companies' 'members' 'industry' 'jobs' 'staff' 'students'
 'officers' 'families' 'employees' 'businesses' 'residents' 'population'
 'kids' 'owners' 'citizens' 'agents' 'drivers' 'farmers' 'worker'
 'immigrants' 'employers' 'folks' 'farms' 'migrants']",[0.         0.         0.02041616 ... 0.         0.         0.        ],49,19,14,True,drivers,workers
453,,,0,19,15,False,left,left
454,,,0,19,16,False,the,the
455,,,0,19,17,False,area,area
456,,,0,19,18,False,.,.
457,,,0,19,19,False,Vidalia,Vidalia
458,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' ""'s"" 'that' 'for' 'is'
 'he' 'has' ')' 'also' 'people' '-' 'she' '?' 'just' 'now' 'Obama' 'state'
 '...' 'already' '!' '&' 'local' 'area' 'City' 'State' 'Department'
 'states' 'County' 'population' 'county' 'Pennsylvania' 'USA']",[0.         0.         0.02525595 ... 0.         0.         0.        ],40,19,20,True,also,Georgia
459,,,0,19,21,False,now,now
460,"['<UNK>' ',' 'of' 'and' 'in' '""' ""'s"" 'is' 'was' 'have' 'will' 'had'
 'also' 'only' 'just' 'now' 'still' 'won' 'received' 'needs' 'includes'
 'offers' 'gets' 'represents' 'sees' 'produces' 'boasts']",[0.         0.         0.03700373 ... 0.         0.         0.        ],27,19,22,True,'s,has
461,,,0,19,23,False,over,over
462,,,0,19,24,False,3000,3000
463,,,0,19,25,False,agriculture,agriculture
464,"['<UNK>' ',' '.' 'to' 'of' 'and' 'in' '""' ""'s"" 'is' 'or' 'people'
 'million' '/' 'company' 'work' 'business' 'sales' 'industry' 'office'
 'working' 'jobs' 'staff' 'production' 'contract' 'department' 'union'
 'illegal' 'offices' 'manufacturing' 'labor' 'employment' 'worker' 'posts'
 'workforce' 'full-time']",[0.         0.         0.02779986 ... 0.         0.         0.        ],36,19,26,True,industry,job
465,,,0,19,27,False,openings,openings
466,,,0,19,28,False,and,and
467,"['<UNK>' ',' 'to' 'and' '""' ""'s"" 'that' 'it' 'he' 'not' 'will' 'I' 'also'
 'you' 'people' 'can' 'we' 'so' 'only' 'government' 'just' 'now' 'even'
 'may' 'still' 'few' 'already' 'companies' 'far' 'workers' 'jobs' 'staff'
 'employees' 'businesses' 'employers']",[0.        0.        0.0287572 ... 0.        0.        0.       ],35,19,29,True,few,they
468,,,0,19,30,False,have,have
469,"['<UNK>' ',' 'and' 'not' 'also' 'only' 'just' 'now' 'even' 'already' 'got'
 'barely']",[0.         0.         0.08340745 ... 0.         0.         0.        ],12,19,31,True,not,been
470,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' 'that' 'on' 'this' 'more'
 'about' 'up' 'out' 'there' 'just' 'made' 'back' 'off' 'down' 'home'
 'well' 'going' 'good' 'used' 'expected' 'here' 'taken' 'working' 'having'
 'trying' 'asked' 'available' 'started' 'hard' 'looking' 'getting'
 'running' 'paid' 'helped' 'allowed' 'forced' 'moved' 'offered' 'seeking'
 'created' 'required' 'ready' 'planning' 'helping' 'happy' 'prepared'
 'waiting' 'voted' 'struggling' 'elected' 'promised' 'willing' 'hoping'
 'unable' 'picked' 'pushing' 'preparing' 'hired' 'lucky' 'employed']",[0.         0.         0.01470526 ... 0.         0.         0.        ],68,19,32,True,hoping,able
471,,,0,19,33,False,to,to
472,,,0,19,34,False,fill,fill
473,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on'
 'with' 'as' 'at' 'by' 'more' 'or' 'up' '$' 'out' 'all' 'over' 'some'
 'them' 'only' 'just' 'even' 'around' 'another' 'every' 'nearly' 'almost'
 'approximately' 'roughly' 'hiring']",[0.         0.         0.02703752 ... 0.         0.         0.        ],37,19,35,True,by,about
